Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,59.200001,59.200001,59.200001,59.200001,58.533283,0
2019-07-02,59.250000,59.250000,59.250000,59.250000,58.582718,0
2019-07-03,59.740002,59.740002,59.740002,59.740002,59.067207,0
2019-07-05,59.680000,59.680000,59.680000,59.680000,59.007874,0
2019-07-08,59.349998,59.349998,59.349998,59.349998,58.681595,0
2019-07-09,59.720001,59.720001,59.720001,59.720001,59.047428,0
2019-07-10,59.849998,59.849998,59.849998,59.849998,59.175968,0
2019-07-11,59.930000,59.930000,59.930000,59.930000,59.255058,0
2019-07-12,60.310001,60.310001,60.310001,60.310001,59.630787,0
2019-07-15,60.340000,60.340000,60.340000,60.340000,59.660446,0
2019-07-16,60.049999,60.049999,60.049999,60.049999,59.373707,0
2019-07-17,59.919998,59.919998,59.919998,59.919998,59.245174,0
2019-07-18,60.110001,60.110001,60.110001,60.110001,59.433044,0
2019-07-19,59.650002,59.650002,59.650002,59.650002,58.978214,0
2019-07-22,59.730000,59.730000,59.730000,59.730000,59.057316,0
2019-07-23,60.090000,60.090000,60.090000,60.090000,59.413265,0
2019-07-24,60.529999,60.529999,60.529999,60.529999,59.848305,0
2019-07-25,60.080002,60.080002,60.080002,60.080002,59.403374,0
2019-07-26,60.529999,60.529999,60.529999,60.529999,59.848305,0
2019-07-29,60.270000,60.270000,60.270000,60.270000,59.591236,0
2019-07-30,60.200001,60.200001,60.200001,60.200001,59.522018,0
2019-07-31,59.750000,59.750000,59.750000,59.750000,59.077087,0
2019-08-01,59.009998,59.009998,59.009998,59.009998,58.345421,0
2019-08-02,58.410000,58.410000,58.410000,58.410000,57.752190,0
2019-08-05,56.470001,56.470001,56.470001,56.470001,55.834038,0
2019-08-06,57.360001,57.360001,57.360001,57.360001,56.714008,0
2019-08-07,57.680000,57.680000,57.680000,57.680000,57.030403,0
2019-08-08,59.009998,59.009998,59.009998,59.009998,58.345421,0
2019-08-09,58.549999,58.549999,58.549999,58.549999,57.890602,0
2019-08-12,57.840000,57.840000,57.840000,57.840000,57.188606,0
2019-08-13,58.599998,58.599998,58.599998,58.599998,57.940044,0
2019-08-14,56.939999,56.939999,56.939999,56.939999,56.298737,0
2019-08-15,57.160000,57.160000,57.160000,57.160000,56.516258,0
2019-08-16,58.040001,58.040001,58.040001,58.040001,57.386349,0
2019-08-19,58.619999,58.619999,58.619999,58.619999,57.959812,0
2019-08-20,58.320000,58.320000,58.320000,58.320000,57.663197,0
2019-08-21,58.889999,58.889999,58.889999,58.889999,58.226776,0
2019-08-22,58.700001,58.700001,58.700001,58.700001,58.038914,0
2019-08-23,57.209999,57.209999,57.209999,57.209999,56.565697,0
2019-08-26,57.660000,57.660000,57.660000,57.660000,57.010632,0
2019-08-27,57.580002,57.580002,57.580002,57.580002,56.931530,0
2019-08-28,57.880001,57.880001,57.880001,57.880001,57.228161,0
2019-08-29,58.610001,58.610001,58.610001,58.610001,57.949932,0
2019-08-30,58.480000,58.480000,58.480000,58.480000,57.821396,0
2019-09-03,57.980000,57.980000,57.980000,57.980000,57.327030,0
2019-09-04,58.529999,58.529999,58.529999,58.529999,57.870831,0
2019-09-05,59.270000,59.270000,59.270000,59.270000,58.602501,0
2019-09-06,59.299999,59.299999,59.299999,59.299999,58.632160,0
2019-09-09,58.680000,58.680000,58.680000,58.680000,58.019138,0
2019-09-10,58.450001,58.450001,58.450001,58.450001,57.791737,0
2019-09-11,58.720001,58.720001,58.720001,58.720001,58.058693,0
2019-09-12,58.900002,58.900002,58.900002,58.900002,58.236671,0
2019-09-13,58.650002,58.650002,58.650002,58.650002,58.094025,0
2019-09-16,59.000000,59.000000,59.000000,59.000000,58.440704,0
2019-09-17,59.340000,59.340000,59.340000,59.340000,58.777493,0
2019-09-18,59.180000,59.180000,59.180000,59.180000,58.618999,0
2019-09-19,59.060001,59.060001,59.060001,59.060001,58.500141,0
2019-09-20,58.849998,58.849998,58.849998,58.849998,58.292133,0
2019-09-23,58.849998,58.849998,58.849998,58.849998,58.292133,0
2019-09-24,58.299999,58.299999,58.299999,58.299999,57.747345,0
2019-09-25,58.590000,58.590000,58.590000,58.590000,58.034592,0
2019-09-26,58.459999,58.459999,58.459999,58.459999,57.905834,0
2019-09-27,57.840000,57.840000,57.840000,57.840000,57.291706,0
2019-09-30,58.250000,58.250000,58.250000,58.250000,57.697819,0
2019-10-01,57.529999,57.529999,57.529999,57.529999,56.984642,0
2019-10-02,56.660000,56.660000,56.660000,56.660000,56.122890,0
2019-10-03,57.360001,57.360001,57.360001,57.360001,56.816254,0
2019-10-04,57.970001,57.970001,57.970001,57.970001,57.420471,0
2019-10-07,57.720001,57.720001,57.720001,57.720001,57.172836,0
2019-10-08,56.680000,56.680000,56.680000,56.680000,56.142704,0
2019-10-09,57.299999,57.299999,57.299999,57.299999,56.756817,0
2019-10-10,57.610001,57.610001,57.610001,57.610001,57.063892,0
2019-10-11,58.389999,58.389999,58.389999,58.389999,57.836494,0
2019-10-14,58.290001,58.290001,58.290001,58.290001,57.737442,0
2019-10-15,58.820000,58.820000,58.820000,58.820000,58.262417,0
2019-10-16,58.529999,58.529999,58.529999,58.529999,57.975163,0
2019-10-17,58.790001,58.790001,58.790001,58.790001,58.232700,0
2019-10-18,58.610001,58.610001,58.610001,58.610001,58.054405,0
2019-10-21,59.029999,59.029999,59.029999,59.029999,58.470425,0
2019-10-22,58.560001,58.560001,58.560001,58.560001,58.004883,0
2019-10-23,58.660000,58.660000,58.660000,58.660000,58.103931,0
2019-10-24,59.029999,59.029999,59.029999,59.029999,58.470425,0
2019-10-25,59.209999,59.209999,59.209999,59.209999,58.648720,0
2019-10-28,59.480000,59.480000,59.480000,59.480000,58.916157,0
2019-10-29,59.439999,59.439999,59.439999,59.439999,58.876537,0
2019-10-30,59.660000,59.660000,59.660000,59.660000,59.094456,0
2019-10-31,59.310001,59.310001,59.310001,59.310001,58.747776,0
2019-11-01,59.860001,59.860001,59.860001,59.860001,59.292561,0
2019-11-04,59.810001,59.810001,59.810001,59.810001,59.243038,0
2019-11-05,59.439999,59.439999,59.439999,59.439999,58.876537,0
2019-11-06,59.160000,59.160000,59.160000,59.160000,58.599190,0
2019-11-07,59.189999,59.189999,59.189999,59.189999,58.628902,0
2019-11-08,59.240002,59.240002,59.240002,59.240002,58.678440,0
2019-11-11,59.279999,59.279999,59.279999,59.279999,58.718056,0
2019-11-12,59.400002,59.400002,59.400002,59.400002,58.836918,0
2019-11-13,59.619999,59.619999,59.619999,59.619999,59.054829,0
2019-11-14,59.840000,59.840000,59.840000,59.840000,59.272751,0
2019-11-15,60.360001,60.360001,60.360001,60.360001,59.787815,0
2019-11-18,60.509998,60.509998,60.509998,60.509998,59.936398,0
2019-11-19,60.810001,60.810001,60.810001,60.810001,60.233555,0
2019-11-20,60.820000,60.820000,60.820000,60.820000,60.243450,0
2019-11-21,60.450001,60.450001,60.450001,60.450001,59.876965,0
2019-11-22,60.549999,60.549999,60.549999,60.549999,59.976013,0
2019-11-25,61.250000,61.250000,61.250000,61.250000,60.669376,0
2019-11-26,61.430000,61.430000,61.430000,61.430000,60.847672,0
