Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,220.729996,228.339996,219.149994,223.529999,204.098236,1821910200
2017-01-01,225.039993,229.710007,223.880005,227.529999,208.975067,1482408500
2017-02-01,227.529999,237.309998,226.820007,236.470001,217.185974,1365136600
2017-03-01,238.389999,240.320007,231.610001,235.740005,216.515518,1921474100
2017-04-01,235.800003,239.529999,232.509995,238.080002,219.615967,1549613700
2017-05-01,238.679993,242.080002,235.429993,241.440002,222.715393,1492547000
2017-06-01,241.970001,245.009995,239.960007,241.800003,223.047470,1572753000
2017-07-01,242.880005,248.000000,240.339996,246.770004,228.742081,1055908800
2017-08-01,247.460007,248.910004,241.830002,247.490005,229.409500,1557031500
2017-09-01,247.919998,251.320007,244.949997,251.229996,232.876251,1286405100
2017-10-01,251.490005,257.890015,251.289993,257.149994,239.546707,1320624600
2017-11-01,258.040009,266.049988,255.630005,265.010010,246.868713,1365620900
2017-12-01,264.760010,268.600006,260.760010,266.859985,248.592026,1715222900
2018-01-01,267.839996,286.630005,267.399994,281.899994,263.944733,1985506700
2018-02-01,281.070007,283.059998,252.919998,271.649994,254.347595,2923722000
2018-03-01,271.410004,280.410004,257.829987,263.149994,246.388962,2323561800
2018-04-01,262.549988,271.299988,254.669998,264.510010,248.654266,1998466500
2018-05-01,263.869995,274.250000,259.049988,270.940002,254.698837,1606397200
2018-06-01,272.410004,279.480011,268.489990,271.279999,255.018341,1599001000
2018-07-01,269.510010,284.369995,269.239990,281.329987,265.653473,1266892500
2018-08-01,281.559998,291.739990,279.160004,290.309998,274.133148,1308443700
2018-09-01,289.839996,293.940002,286.709991,290.720001,274.520325,1228103300
2018-10-01,292.109985,293.209991,259.850006,270.630005,256.706635,3024345800
2018-11-01,271.600006,281.220001,263.070007,275.649994,261.468353,2021061200
2018-12-01,280.279999,280.399994,233.759995,249.919998,237.062119,3102780500
2019-01-01,245.979996,270.470001,243.669998,269.929993,257.537842,2048691700
2019-02-01,270.149994,281.309998,267.829987,278.679993,265.886169,1371716300
2019-03-01,280.440002,285.179993,272.420013,282.480011,269.511658,1678081300
2019-04-01,284.700012,294.450012,284.399994,294.019989,281.757477,1209204700
2019-05-01,294.720001,294.950012,275.239990,275.269989,263.789520,1845593200
2019-06-01,275.309998,296.309998,273.089996,293.000000,280.780060,1340435600
2019-07-01,296.679993,302.230011,294.329987,297.429993,286.411560,1110102300
2019-08-01,297.600006,300.869995,281.720001,292.450012,281.616089,2034004800
2019-09-01,290.570007,302.630005,289.269989,296.769989,285.776001,1303830000
2019-10-01,297.739990,304.549988,284.820007,303.329987,293.441864,1386748300
2019-11-01,304.920013,315.480011,304.739990,314.309998,304.063934,1037123500
2019-12-01,314.589996,323.799988,307.130005,321.859985,311.367798,1285175800
2020-01-01,323.540009,332.950012,320.359985,321.730011,312.772278,1392003800
2020-02-01,323.350006,339.079987,285.540009,296.260010,288.011475,2110214900
2020-03-01,298.209991,313.839996,218.259995,257.750000,250.573654,5926017600
2020-04-01,247.979996,294.880005,243.899994,290.480011,284.052948,2819312300
2020-05-01,285.309998,306.839996,272.989990,304.320007,297.586700,1910460500
2020-06-01,303.619995,323.410004,296.739990,308.359985,301.537292,2358674500
2020-07-01,309.570007,327.230011,309.070007,326.519989,320.700531,1505145300
2020-08-01,328.320007,351.299988,327.730011,349.309998,343.084412,1045563300
2020-09-01,350.209991,358.750000,319.799988,334.890015,328.921417,1814712700
2020-10-01,337.690002,354.019989,322.600006,326.540009,322.004089,1629016100
2020-11-01,330.200012,364.380005,327.239990,362.059998,357.030670,1535244300
2020-12-01,365.570007,378.459991,362.029999,373.880005,368.686493,1344541500
2021-01-01,375.309998,385.850006,364.820007,370.070007,366.484985,1402265400
2021-02-01,373.720001,394.170013,370.380005,380.359985,376.675262,1307806200
2021-03-01,385.589996,398.119995,371.880005,396.329987,392.490570,2401715800
2021-04-01,398.399994,420.720001,398.179993,417.299988,414.610931,1462106600
2021-05-01,419.429993,422.820007,404.000000,420.040009,417.333282,1547235900
2021-06-01,422.570007,428.779999,414.700012,428.059998,425.301605,1282152400
2021-07-01,428.869995,441.799988,421.970001,438.510010,437.109650,1422044100
2021-08-01,440.339996,453.070007,436.100006,451.559998,450.117981,1253787500
2021-09-01,452.559998,454.049988,428.779999,429.140015,427.769592,1745134600
2021-10-01,430.980011,459.559998,426.359985,459.250000,459.250000,1508513100
2021-11-01,460.299988,470.649994,458.200012,467.269989,467.269989,528286900
